params,mean_test_score,mean_train_score,std_test_score,std_train_score,mean_fit_time,mean_score_time,rank_test_score,score_gap
"OrderedDict([('model__colsample_bytree', 0.6), ('model__learning_rate', 0.2), ('model__max_depth', 3), ('model__min_child_weight', 1), ('model__n_estimators', 6), ('model__subsample', 1.0)])",0.843623477297896,0.8441478112815576,0.026068055403491115,0.0096613328703507,0.25722341537475585,0.022945404052734375,1,0.0005243339836615846
"OrderedDict([('model__colsample_bytree', 0.6), ('model__learning_rate', 0.2), ('model__max_depth', 3), ('model__min_child_weight', 1), ('model__n_estimators', 6), ('model__subsample', 1.0)])",0.843623477297896,0.8441478112815576,0.026068055403491115,0.0096613328703507,0.23281826972961425,0.031740570068359376,1,0.0005243339836615846
"OrderedDict([('model__colsample_bytree', 0.6), ('model__learning_rate', 0.2), ('model__max_depth', 3), ('model__min_child_weight', 1), ('model__n_estimators', 6), ('model__subsample', 1.0)])",0.843623477297896,0.8441478112815576,0.026068055403491115,0.0096613328703507,0.11436328887939454,0.03558835983276367,1,0.0005243339836615846
"OrderedDict([('model__colsample_bytree', 0.6), ('model__learning_rate', 0.2), ('model__max_depth', 3), ('model__min_child_weight', 1), ('model__n_estimators', 6), ('model__subsample', 1.0)])",0.843623477297896,0.8441478112815576,0.026068055403491115,0.0096613328703507,0.3746634006500244,0.028961992263793944,1,0.0005243339836615846
"OrderedDict([('model__colsample_bytree', 0.6), ('model__learning_rate', 0.2), ('model__max_depth', 3), ('model__min_child_weight', 1), ('model__n_estimators', 15), ('model__subsample', 0.8)])",0.8236744186046512,0.8361611224296441,0.03863817585732315,0.0056597337047016895,0.27951669692993164,0.026688623428344726,5,0.01248670382499295
"OrderedDict([('model__colsample_bytree', 0.7977405165074247), ('model__learning_rate', 0.2), ('model__max_depth', 3), ('model__min_child_weight', 1), ('model__n_estimators', 15), ('model__subsample', 0.8)])",0.8183543743078626,0.8330000013831201,0.02775937481832273,0.006250685326637395,0.18844957351684571,0.031147575378417967,6,0.014645627075257517
"OrderedDict([('model__colsample_bytree', 0.6), ('model__learning_rate', 0.3), ('model__max_depth', 3), ('model__min_child_weight', 1), ('model__n_estimators', 12), ('model__subsample', 0.8)])",0.8176943521594684,0.8358266839833307,0.028800866436946022,0.009793301499629724,0.16679005622863768,0.029243946075439453,7,0.018132331823862313
"OrderedDict([('model__colsample_bytree', 0.6), ('model__learning_rate', 0.2), ('model__max_depth', 4), ('model__min_child_weight', 1), ('model__n_estimators', 6), ('model__subsample', 0.8)])",0.8103942414174974,0.8306719335881041,0.03763710827552435,0.006584494219910235,0.12976317405700682,0.03038311004638672,8,0.02027769217060671
"OrderedDict([('model__colsample_bytree', 0.8124573531935305), ('model__learning_rate', 0.2), ('model__max_depth', 3), ('model__min_child_weight', 5), ('model__n_estimators', 6), ('model__subsample', 1.0)])",0.8050631229235881,0.8163636942032053,0.03337202671030221,0.014144495618077001,0.09154047966003417,0.022212791442871093,9,0.011300571279617255
"OrderedDict([('model__colsample_bytree', 0.7779330049204607), ('model__learning_rate', 0.3), ('model__max_depth', 4), ('model__min_child_weight', 3), ('model__n_estimators', 8), ('model__subsample', 0.8)])",0.8037275747508306,0.8343315311278101,0.02765296835943018,0.008119204249982043,0.2787931442260742,0.027800273895263673,10,0.030603956376979546
"OrderedDict([('model__colsample_bytree', 0.8936112071942273), ('model__learning_rate', 0.3), ('model__max_depth', 4), ('model__min_child_weight', 2), ('model__n_estimators', 13), ('model__subsample', 0.8)])",0.8017342192691028,0.8398193368492247,0.03150346021672262,0.006566359938619912,0.1445770740509033,0.021502161026000978,11,0.0380851175801219
"OrderedDict([('model__colsample_bytree', 0.7589683912273124), ('model__learning_rate', 0.1), ('model__max_depth', 3), ('model__min_child_weight', 1), ('model__n_estimators', 6), ('model__subsample', 1.0)])",0.7950808416389812,0.8043883635337613,0.03593918894673311,0.016031830683396073,0.1385723114013672,0.022287845611572266,12,0.009307521894780124
"OrderedDict([('model__colsample_bytree', 0.9249583953429453), ('model__learning_rate', 0.1), ('model__max_depth', 7), ('model__min_child_weight', 4), ('model__n_estimators', 11), ('model__subsample', 0.8)])",0.785751937984496,0.8617758155913599,0.025548377343687253,0.008960099701940036,0.17053847312927245,0.02950572967529297,13,0.0760238776068638
"OrderedDict([('model__colsample_bytree', 0.9349553422213137), ('model__learning_rate', 0.3), ('model__max_depth', 5), ('model__min_child_weight', 5), ('model__n_estimators', 14), ('model__subsample', 0.8)])",0.7824274640088593,0.8506321550532986,0.02712655035763145,0.006145916920225372,0.4847570896148682,0.039312219619750975,14,0.06820469104443927
"OrderedDict([('model__colsample_bytree', 0.817361227076125), ('model__learning_rate', 0.3), ('model__max_depth', 6), ('model__min_child_weight', 4), ('model__n_estimators', 9), ('model__subsample', 0.8)])",0.7817563676633444,0.8589488563671244,0.020371420228785585,0.007741528834962326,0.14185614585876466,0.028632497787475585,15,0.07719248870377993
"OrderedDict([('model__colsample_bytree', 0.8468317434009265), ('model__learning_rate', 0.3), ('model__max_depth', 6), ('model__min_child_weight', 4), ('model__n_estimators', 11), ('model__subsample', 1.0)])",0.7797630121816168,0.8670973702737056,0.031209213911065688,0.00702024574666099,0.4146560192108154,0.029150676727294923,16,0.08733435809208878
"OrderedDict([('model__colsample_bytree', 0.9198213766428692), ('model__learning_rate', 0.2), ('model__max_depth', 7), ('model__min_child_weight', 4), ('model__n_estimators', 14), ('model__subsample', 1.0)])",0.7604695459579179,0.8905521830476498,0.022656109418299184,0.004229650191254128,0.157319974899292,0.027091169357299806,17,0.1300826370897319
"OrderedDict([('model__colsample_bytree', 0.6014521229018973), ('model__learning_rate', 0.3), ('model__max_depth', 8), ('model__min_child_weight', 2), ('model__n_estimators', 11), ('model__subsample', 0.8)])",0.7518205980066446,0.9073528048984583,0.016087837391549998,0.00246878917051239,0.17614593505859374,0.019078493118286133,18,0.15553220689181368
"OrderedDict([('model__colsample_bytree', 0.9821911945239713), ('model__learning_rate', 0.2), ('model__max_depth', 9), ('model__min_child_weight', 3), ('model__n_estimators', 9), ('model__subsample', 0.8)])",0.7358538205980066,0.9061871112567997,0.01674555942500605,0.0060839312831155595,0.25680198669433596,0.02269468307495117,19,0.1703332906587931
"OrderedDict([('model__colsample_bytree', 0.7640415835413256), ('model__learning_rate', 0.2), ('model__max_depth', 10), ('model__min_child_weight', 2), ('model__n_estimators', 12), ('model__subsample', 0.8)])",0.7258560354374308,0.9427805970376333,0.02262426370996921,0.005504349305528132,0.4161218166351318,0.02542390823364258,20,0.21692456160020246
