params,mean_test_score,mean_train_score,std_test_score,std_train_score,mean_fit_time,mean_score_time,rank_test_score,score_gap
"OrderedDict([('model__colsample_bytree', 0.6), ('model__learning_rate', 0.1), ('model__max_depth', 3), ('model__min_child_weight', 5), ('model__n_estimators', 6), ('model__subsample', 1.0)])",0.8469590254706534,0.8481352082909753,0.019145291056422098,0.010299623205051728,0.08571410179138184,0.026218891143798828,1,0.001176182820321947
"OrderedDict([('model__colsample_bytree', 0.6), ('model__learning_rate', 0.1), ('model__max_depth', 3), ('model__min_child_weight', 5), ('model__n_estimators', 6), ('model__subsample', 1.0)])",0.8469590254706534,0.8481352082909753,0.019145291056422098,0.010299623205051728,0.12337942123413086,0.030311059951782227,1,0.001176182820321947
"OrderedDict([('model__colsample_bytree', 0.6), ('model__learning_rate', 0.1), ('model__max_depth', 3), ('model__min_child_weight', 4), ('model__n_estimators', 6), ('model__subsample', 1.0)])",0.8469590254706534,0.8481352082909753,0.019145291056422098,0.010299623205051728,0.3800691604614258,0.021514034271240233,1,0.001176182820321947
"OrderedDict([('model__colsample_bytree', 0.6), ('model__learning_rate', 0.1), ('model__max_depth', 3), ('model__min_child_weight', 5), ('model__n_estimators', 7), ('model__subsample', 0.8)])",0.8363012181616833,0.8383232158096163,0.024282374627653123,0.011836023797117805,3.856788921356201,0.047785043716430664,4,0.0020219976479329826
"OrderedDict([('model__colsample_bytree', 0.6), ('model__learning_rate', 0.3), ('model__max_depth', 3), ('model__min_child_weight', 5), ('model__n_estimators', 6), ('model__subsample', 1.0)])",0.8263565891472868,0.8381507407299832,0.01325413652744064,0.017890129998905418,0.13410820960998535,0.027419042587280274,5,0.011794151582696366
"OrderedDict([('model__colsample_bytree', 0.6), ('model__learning_rate', 0.1), ('model__max_depth', 3), ('model__min_child_weight', 1), ('model__n_estimators', 15), ('model__subsample', 1.0)])",0.8210011074197121,0.8238490020096736,0.020955902625707002,0.01305004980176555,0.7265572071075439,0.03661360740661621,6,0.002847894589961486
"OrderedDict([('model__colsample_bytree', 0.6), ('model__learning_rate', 0.3), ('model__max_depth', 3), ('model__min_child_weight', 1), ('model__n_estimators', 8), ('model__subsample', 1.0)])",0.8196788482834995,0.8283410995528373,0.020160684592520923,0.006884373217818483,0.23084115982055664,0.035492753982543944,7,0.00866225126933784
"OrderedDict([('model__colsample_bytree', 0.6), ('model__learning_rate', 0.1), ('model__max_depth', 4), ('model__min_child_weight', 5), ('model__n_estimators', 6), ('model__subsample', 1.0)])",0.8043698781838318,0.8200267495432246,0.017758595209500523,0.015545295316351295,0.26529927253723146,0.027187204360961913,8,0.015656871359392865
"OrderedDict([('model__colsample_bytree', 0.7999999999999999), ('model__learning_rate', 0.3), ('model__max_depth', 4), ('model__min_child_weight', 3), ('model__n_estimators', 8), ('model__subsample', 0.8)])",0.7990409745293465,0.8236881451390936,0.02256941978285715,0.00977334023189936,0.3289527416229248,0.0373013973236084,9,0.024647170609747082
"OrderedDict([('model__colsample_bytree', 0.7), ('model__learning_rate', 0.1), ('model__max_depth', 3), ('model__min_child_weight', 1), ('model__n_estimators', 6), ('model__subsample', 1.0)])",0.7877364341085271,0.7949074900104149,0.024114460889310272,0.015129595436508245,0.30736331939697265,0.041145944595336915,10,0.007171055901887824
